player_id,search_full_name,full_name,position,team
11572,tahjbrooks,Tahj Brooks,RB,
2225,alexbayer,Alex Bayer,TE,
HOU,houstontexans,Unknown,DEF,HOU
3294,dakprescott,Dak Prescott,QB,DAL
4031,traviswilson,Travis Wilson,TE,
11611,decorianclark,De'Corian Clark,WR,
1910,connorshaw,Connor Shaw,QB,
16,rayrice,Ray Rice,RB,
51,anthonyfasano,Anthony Fasano,TE,
7274,tylersimmons,Tyler Simmons,WR,
5359,dorrenmiller,Dorren Miller,WR,
934,ryantaylor,Ryan Taylor,TE,
3768,dariuspowe,Darius Powe,WR,
3517,huntersharp,Hunter Sharp,WR,
12180,alexmcnulty,Alex McNulty,K,
3609,chrisking,Chris King,WR,
421,matthewstafford,Matthew Stafford,QB,LAR
1293,jeremystewart,Jeremy Stewart,RB,
11636,johnnywilson,Johnny Wilson,WR,PHI
5258,damongibson,Damon Gibson,WR,
8134,khalilshakir,Khalil Shakir,WR,BUF
5398,justincrawford,Justin Crawford,RB,
7828,noahgray,Noah Gray,TE,KC
10861,xazavianvalladay,Xazavian Valladay,RB,NYJ
NE,new englandpatriots,Unknown,DEF,NE
4814,dequanhampton,De'Quan Hampton,WR,
7397,parkerhouston,Parker Houston,TE,
11557,joemilton,Joe Milton,QB,NE
5052,ronaldjones,Ronald Jones,RB,
4128,chadwilliams,Chad Williams,WR,
6626,isaaczico,Isaac Zico,WR,
5995,justicehill,Justice Hill,RB,BAL
3524,marquisewilliams,Marquise Williams,QB,
4421,jacobhollister,Jacob Hollister,TE,
2926,earnestpettway,Earnest Pettway,TE,
2887,quanbray,Quan Bray,WR,
6081,kendallblanton,Kendall Blanton,TE,
4634,kennethwalker,Kenneth Walker,WR,
4479,thomassperbeck,Thomas Sperbeck,WR,
133,gregjones,Greg Jones,RB,
3318,kevinhogan,Kevin Hogan,QB,
3799,davidglidden,David Glidden,WR,
5269,codeymcelroy,Codey McElroy,TE,
2553,roryanderson,Rory Anderson,TE,
4585,anthonynash,Anthony Nash,WR,
11229,calvintyler,Calvin Tyler,RB,
2941,miltonwilliams,Milton Williams,WR,
89,chadhenne,Chad Henne,QB,
8138,jamescook,James Cook,RB,BUF
5665,darrenandrews,Darren Andrews,WR,
2770,haroldspears,Harold Spears,TE,
7159,reidsinnett,Reid Sinnett,QB,
7108,hasisedubois,Hasise Dubois,WR,
9231,jarenhall,Jaren Hall,QB,
7262,jalenmorton,Jalen Morton,QB,IND
8442,jarrettguarantano,Jarrett Guarantano,QB,
8119,jahandotson,Jahan Dotson,WR,PHI
8194,jashauncorbin,Jashaun Corbin,RB,
7863,jaquanhardy,JaQuan Hardy,RB,
5231,colehunt,Cole Hunt,TE,
7407,isaiahwright,Isaiah Wright,WR,
5268,benjohnson,Ben Johnson,TE,
2185,coreybrown,Corey Brown,WR,
6075,jesperhorsted,Jesper Horsted,TE,
11145,tannerbrown,Tanner Brown,K,
4697,khalidabdullah,Khalid Abdullah,RB,
539,marcmariani,Marc Mariani,WR,
12220,brevineaston,Brevin Easton,WR,
5550,johndavidmoore,John David Moore,RB,
11612,brumccoy,Bru McCoy,WR,
1631,rodneysmith,Rodney Smith,WR,
7552,blakeproehl,Blake Proehl,WR,
